historical_ticker,current_symbol,effective_until,note
UTX,RTX,2020-04-03,"United Technologies -> Raytheon Technologies. VERIFIED: RTX carries 6686 rows from 2000-01-03."
HRS,LHX,2019-06-29,"Harris Corp -> L3Harris. VERIFIED: LHX carries 6686 rows from 2000-01-03."
JEC,J,2019-01-14,"Jacobs Engineering -> Jacobs Solutions. VERIFIED: J carries 6686 rows from 2000-01-03."
SYMC,GEN,2019-11-04,"Symantec -> NortonLifeLock -> Gen Digital. VERIFIED: GEN carries 6686 rows from 2000-01-03."
NLOK,GEN,2022-11-07,"NortonLifeLock -> Gen Digital. Same series as SYMC. VERIFIED: GEN 6686 rows."
ABC,COR,2023-08-30,"AmerisourceBergen -> Cencora. VERIFIED: COR carries 6686 rows from 2000-01-03. NOTE: the ABC ticker string now belongs to Adbri Ltd, an unrelated Australian company."
ANTM,ELV,2022-06-28,"Anthem -> Elevance Health. VERIFIED: ELV carries 6229 rows from 2001-10-30."
BLL,BALL,2024-01-02,"Ball Corp ticker change. VERIFIED: BALL carries 6686 rows from 2000-01-03."
BGEN,BIIB,2003-11-13,"Biogen reincorporation. VERIFIED: BIIB carries 6686 rows from 2000-01-03."
BK,BNY,2026-01-01,"Bank of New York Mellon ticker change. VERIFIED: BNY carries 6686 rows from 2000-01-03."
MMC,MRSH,2026-01-01,"Marsh & McLennan ticker change. VERIFIED: MRSH carries 6686 rows from 2000-01-03."
PKI,RVTY,2023-05-16,"PerkinElmer -> Revvity. VERIFIED: RVTY carries 6686 rows from 2000-01-03."
SATS,ECHO,2026-08-05,"EchoStar ticker change. VERIFIED: Tiingo metadata for SATS now 404s while ECHO resolves to 'EchoStar Corp - Class A' 2008-01-02..2026-08-05. Prices still resolve under BOTH today, so the daily run is not broken -- but SATS is the stale side. ECHO is not yet in the DB: it is one of the 4 current index members missing from the contract."
VIAC,PARA,2022-02-16,"ViacomCBS -> Paramount Global. VERIFIED: Tiingo's VIAC ends 2019-12-04, one day BEFORE ViacomCBS's index membership began; PARA is 'Paramount Global - Class B' 2006-01-03..2025-08-07 and does span the window. PARA is itself now delisted (Skydance merger) and is not yet in the DB -- it is a backfill target."
DISCA,WBD,2022-04-11,"Discovery -> Warner Bros. Discovery. Tiingo's DISCA is a 5-day stub with no security name. VERIFIED: WBD carries 5299 rows from 2005-07-08, which spans the 2010-03-01..2022-04-11 membership window. Discovery was the accounting acquirer in the 2022 WarnerMedia combination, so the series continues."
DWDP,DD,2019-06-01,"DowDuPont -> DuPont de Nemours. VERIFIED: DD carries 6686 rows from 2000-01-03. CAVEAT: DowDuPont SPLIT into DD and DOW in 2019, so DD's pre-2019 series is DowDuPont's (and before that, the old DuPont's) -- it is NOT modern DuPont alone. Use with that lineage in mind."
